date,hypo_plays,sparks_plays,moth_plays,sail_plays,mess_plays,corpse_plays,esa_plays,dakin_plays,bren_plays,debt_plays,dime_plays,oct_plays,later_plays,moth_singe_plays
2017-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2017-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2017-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2017-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2017-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2017-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,35
2017-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2017-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2017-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2017-10-23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2017-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2017-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2017-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2017-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2017-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2017-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2017-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2017-11-04,42,35,21,47,34,23,25,21,25,21,21,28,28,3
2017-11-05,27,18,10,19,10,10,12,12,13,17,10,16,13,7
2017-11-06,27,30,13,27,18,13,14,10,11,12,20,20,13,5
2017-11-07,10,22,10,21,13,10,9,8,15,7,14,13,10,5
2017-11-08,16,14,12,15,8,8,5,6,3,3,8,7,7,3
2017-11-09,11,18,7,12,7,4,5,8,6,7,7,9,6,2
2017-11-10,15,23,14,14,10,10,6,6,5,11,11,11,8,4
2017-11-11,8,12,8,11,7,7,2,3,4,3,5,3,2,1
2017-11-12,2,5,3,5,58,1,1,1,0,0,0,0,0,0
2017-11-13,4,4,4,6,10,3,3,5,4,6,4,4,1,4
2017-11-14,3,11,2,10,5,4,7,8,8,7,6,10,7,2
2017-11-15,1,1,1,1,0,0,1,2,4,1,3,2,3,1
2017-11-16,3,4,2,4,1,3,2,5,3,3,3,2,5,1
2017-11-17,3,8,4,7,5,2,3,3,2,5,2,5,4,0
2017-11-18,3,2,1,7,3,3,2,1,3,3,3,3,3,2
2017-11-19,5,3,3,1,1,2,2,1,1,1,4,5,2,0
2017-11-20,3,2,2,3,2,2,1,0,4,2,2,1,2,3
2017-11-21,1,0,1,4,1,1,1,0,1,0,0,2,0,0
2017-11-22,1,0,0,2,2,1,0,0,1,1,1,1,3,0
2017-11-23,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-24,1,1,0,1,3,0,0,3,2,0,1,0,1,0
2017-11-25,2,1,1,3,1,1,1,0,0,1,1,1,2,1
2017-11-26,1,1,0,0,0,1,0,1,0,0,1,1,1,1
2017-11-27,0,0,0,0,0,0,0,2,0,0,1,0,2,2
2017-11-28,6,3,2,4,4,3,0,0,3,1,3,1,1,0
2017-11-29,4,5,0,3,0,0,0,5,2,1,1,2,2,0
2017-11-30,5,4,3,4,3,3,3,6,4,3,2,6,2,2
2017-12-01,5,8,5,5,5,4,4,6,5,4,5,6,7,0
2017-12-02,6,2,3,6,5,4,2,0,7,3,4,7,1,0
2017-12-03,2,1,2,1,0,1,0,1,0,0,0,0,2,1
2017-12-04,0,0,2,0,1,0,0,0,1,0,0,0,1,0
2017-12-05,0,1,2,0,1,0,0,1,1,0,0,1,2,2
2017-12-06,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2017-12-07,1,2,0,1,1,0,0,1,0,0,0,0,0,0
2017-12-08,1,2,1,2,2,1,0,1,1,1,1,1,1,1
2017-12-09,3,1,4,3,2,2,0,1,1,1,2,1,0,1
2017-12-10,1,1,1,2,0,0,0,0,1,1,1,1,0,2
2017-12-11,1,0,0,2,0,0,0,0,0,0,0,1,1,0
2017-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
